id_linea,nombre_linea,modo,id_linea_agg,nombre_linea_agg
212,001,COL,,
213,Línea 150,COL,,
214,Línea 502B,COL,,
215,Línea 503E,COL,,
216,Línea 33,COL,,
217,Línea 107,COL,,
218,Línea 8,COL,,
219,Línea 544,COL,,
220,Subte H,SUB,8000.0,Subte
221,Línea 501B,COL,,
222,Línea 343,COL,,
223,Línea 059,COL,,
224,Línea 178,COL,,
225,Línea 505D,COL,,
226,Línea 289,COL,,
227,Línea 182,COL,,
228,Línea 304,COL,,
229,Línea 166,COL,,
230,Línea 239B,COL,,
231,Línea 670,COL,,
232,Línea 263A,COL,,
233,Línea 504B,COL,,
234,Línea 507B,COL,,
235,Línea 266,COL,,
236,Línea 299,COL,,
237,Línea 327,COL,,
238,Línea 263B,COL,,
239,Línea 370,COL,,
240,Línea 336,COL,,
241,Línea 385,COL,,
242,Línea 392,COL,,
243,Línea 047,COL,,
244,Línea 388,COL,,
245,Línea 403,COL,,
246,Línea 435,COL,,
247,Línea 088,COL,,
248,Línea 228F,COL,,
249,Línea 291,COL,,
250,Línea 548,COL,,
251,Línea 550,COL,,
252,Línea 502,COL,,
253,Línea 551,COL,,
254,Línea 520A,COL,,
255,Línea 552,COL,,
256,Línea 273,COL,,
257,Línea 061,COL,,
258,Línea 553,COL,,
259,Línea 062,COL,,
260,Línea 203,COL,,
261,Línea 441,COL,,
262,Línea 114,COL,,
263,Línea 418,COL,,
264,Línea 443,COL,,
265,Línea 504A,COL,,
266,Línea 100,COL,,
267,Línea 338,COL,,
268,Línea 202,COL,,
269,Subte C,SUB,8000.0,Subte
270,Línea 051,COL,,
271,Línea 020,COL,,
272,Línea 074,COL,,
273,Línea 117,COL,,
274,Línea 44,COL,,
275,Línea 086,COL,,
276,Línea 079,COL,,
277,Línea 177,COL,,
278,Línea 721,COL,,
279,Línea 193,COL,,
280,Línea 148,COL,,
281,Tren Roca (Cañuelas-Monte),TRE,5000.0,Tren Roca
282,Tren Roca (Korn-Chascomús),TRE,5000.0,Tren Roca
283,Tren Roca (Universitario),TRE,5000.0,Tren Roca
284,Tren San Martín,TRE,284.0,Tren San Martín
285,Línea 406,COL,,
286,Línea 506,COL,,
287,Línea 318,COL,,
288,Línea 521,COL,,
289,Línea 096,COL,,
290,Línea 034,COL,,
291,Línea 449,COL,,
292,Línea 093,COL,,
293,Línea 749,COL,,
294,Línea 185,COL,,
295,Línea 205,COL,,
296,Línea 129,COL,,
297,Línea 621,COL,,
298,Línea 276,COL,,
299,Línea 091,COL,,
300,Línea 143,COL,,
301,Línea 032,COL,,
302,Línea 310,COL,,
303,Línea 405,COL,,
304,Línea 049,COL,,
305,Línea 097,COL,,
306,Línea 264,COL,,
307,Línea 50,COL,,
308,Línea 520B,COL,,
309,Línea 521 A,COL,,
310,Línea 6,COL,,
311,Línea 526,COL,,
312,Línea 382,COL,,
313,Línea 333A,COL,,
314,Línea 252,COL,,
315,Línea 1,COL,,
316,Línea 383,COL,,
317,Línea 500H,COL,,
318,Línea 275,COL,,
319,Línea 503,COL,,
320,Línea 172,COL,,
321,Línea 174,COL,,
322,Línea 4,COL,,
323,Línea 242,COL,,
324,Línea 041,COL,,
325,Línea 015,COL,,
326,Línea 135,COL,,
327,Línea 31,COL,,
328,Línea 76,COL,,
329,Línea 238,COL,,
330,Línea 518,COL,,
331,Línea 500B,COL,,
