id_linea,nombre_linea,modo,id_ramal,nombre_ramal,ramal,provincia,municipio,id_linea_agg,nombre_linea_agg
15,LINEA 245,COL,15,245A,BARRIO LINDO,BUENOS AIRES,PROV,,
17,LINEA 127,COL,17,127A,PLAZA MARTIN FIERRO - COLECTORA PANAMERICANA Y RUTA 202,JN,JN,,
18,LINEA 394,COL,18,394R1,RECORRIDO 1,BUENOS AIRES,PROV,,
18,LINEA 394,COL,18,394R2,RECORRIDO 2,BUENOS AIRES,PROV,,
18,LINEA 394,COL,18,394R3,RECORRIDO 3,BUENOS AIRES,PROV,,
19,LINEA 395,COL,19,395A,ESTACION MORON - ITUZAINGO - VILLA LAS NACIONES,BUENOS AIRES,PROV,,
19,LINEA 395,COL,19,395B,ESTACION CASTELAR - VILLA LEON - ITUZAINGO / SANTA CECILIA,BUENOS AIRES,PROV,,
19,LINEA 395,COL,19,395C,ESTACION MORON - ITUZAINGO,BUENOS AIRES,PROV,,
20,LINEA 184,COL,20,184A,CHACARITA(CABA)-ESTVILLA ADELINA(FFCC BELGRANO NORTE) GBA,JN,JN,,
21,LINEA 219,COL,21,219R3N,RAMAL 3 NEGRO,BUENOS AIRES,PROV,,
21,LINEA 219,COL,21,219R3R,RAMAL 3 ROJO - EL CARMEN,BUENOS AIRES,PROV,,
21,LINEA 219,COL,21,219R5,RAMAL 5,BUENOS AIRES,PROV,,
22,LINEA 320,COL,22,320A,Est Moron-Est Martin Coronado,BUENOS AIRES,PROV,,
23,LINEA 390,COL,23,390A,Est Moron-Reconquista y Gral Paz,BUENOS AIRES,PROV,,
24,LINEA 36,COL,24,036A,PLAZA ITALIA (CIUDAD AUTONOMA DE BUENOS AIRES) - VILLA CELINA (PARTIDO DE LA MATANZA - PROVINCIA DE BUENOS AIRES),JN,JN,,
24,LINEA 36,COL,24,036B,PLAZA ITALIA (CIUDAD AUTONOMA DE BUENOS AIRES) - PUENTE DE LA NORIA (PARTIDO DE LOMAS DE ZAMORA - PROVINCIA DE BUENOS AIRES),JN,JN,,
25,LINEA 300,COL,25,300ANT,RAMAL A X ANTARTIDA ARGENTINA,BUENOS AIRES,PROV,,
25,LINEA 300,COL,25,300ASEV,RAMAL A POR SEVILLA,BUENOS AIRES,PROV,,
25,LINEA 300,COL,25,300B1,RAMAL B1,BUENOS AIRES,PROV,,
26,LINEA 501D,COL,26,501DA,TERMINAL-BCELESTE Y BLANCO,BUENOS AIRES,LOBOS,,
26,LINEA 501D,COL,26,501DB,LOBOS-SDORMARIA,BUENOS AIRES,LOBOS,,
27,LINEA 152,COL,27,152A,A LA BOCA (CIUDAD AUTONOMA DE BUENOS AIRES) - OLIVOS (PARTIDO DE VICENTE LOPEZ - PROVINCIA DE BUENOS AIRES),JN,JN,,
27,LINEA 152,COL,27,152B,B LA BOCA (CIUDAD AUTONOMA DE BUENOS AIRES) - ESTACION BARTOLOME MITRE (LINEA MITRE - PARTIDO DE VICENTE LOPEZ - PROVINCIA DE BUENOS AIRES),JN,JN,,
27,LINEA 152,COL,27,152C,EXPRESO C LA BOCA (CIUDAD AUTONOMA DE BUENOS AIRES) - OLIVOS (PARTIDO DE VICENTE LOPEZ - PROVINCIA DE BUENOS AIRES),JN,JN,,
29,LINEA 443A,COL,29,443ABA,Ramal Villa Club por Fabrica Scholnik - Est Moron-Granaderos y Vergara,BUENOS AIRES,PROV,,
29,LINEA 443A,COL,29,443ABB,RAMAL 2 - Estacion MorOn por Barrio El Libertador,BUENOS AIRES,PROV,,
29,LINEA 443A,COL,29,443ABC,443C- MORON - RUBEN DARIO,BUENOS AIRES,PROV,,
29,LINEA 443A,COL,29,443ABD,EstaciOn MorOn por Barrio Gaona,BUENOS AIRES,PROV,,
30,LINEA 222,COL,30,222A,EZEIZA - MAXIMO PAZ,BUENOS AIRES,PROV,,
31,LINEA 141,COL,31,141A,A (por PIEDRABUENA) PLAZA ITALIA (CIUDAD AUTONOMA DE BUENOS AIRES) - VILLA ALBERTINA (PARTIDO DE LOMAS DE ZAMORA - PROVINCIA DE BUENOS AIRES),JN,JN,,
31,LINEA 141,COL,31,141B,B (por BARRIO GENERAL SAVIO) PLAZA ITALIA (CIUDAD AUTONOMA DE BUENOS AIRES) - VILLA ALBERTINA (PARTIDO DE LOMAS DE ZAMORA - PROVINCIA DE BUENOS AIRES),JN,JN,,
31,LINEA 141,COL,31,141C,C EXPRESO (sobre A y B) PLAZA ITALIA (CIUDAD AUTONOMA DE BUENOS AIRES) - VILLA ALBERTINA (PDO DE LOMAS DE ZAMORA-GBA),JN,JN,,
34,LINEA 133,COL,34,133A,A BARRACAS (CIUDAD AUTONOMA DE BUENOS AIRES) - FLORIDA (PARTIDO DE VICENTE LOPEZ - PROVINCIA DE BUENOS AIRES),JN,JN,,
34,LINEA 133,COL,34,133B,B BARRACAS (CIUDAD AUTONOMA DE BUENOS AIRES) - AVENIDA GAONA y AVENIDA NAZCA (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
34,LINEA 133,COL,34,133C,C ESTACION GENERAL URQUIZA (LINEA MITRE - CIUDAD AUTONOMA DE BUENOS AIRES) - FLORIDA (PARTIDO DE VICENTE LOPEZ - PROVINCIA DE BUENOS AIRES),JN,JN,,
34,LINEA 133,COL,34,133D,D BARRACAS (CIUDAD AUTONOMA DE BUENOS AIRES) - ESTACION DE TRANSFERENCIA DE VICENTE LOPEZ (PARTIDO DE VICENTE LOPEZ - PROVINCIA DE BUENOS AIRES),JN,JN,,
35,LINEA 306,COL,35,306A,SPEGAZZINI - ROTONDA SAN JUSTO,BUENOS AIRES,PROV,,
35,LINEA 306,COL,35,306B,SPEGAZZINI  PUENTE LA NORIA,BUENOS AIRES,PROV,,
35,LINEA 306,COL,35,306C,PEGAZZINI - PUENTE LA NORIA POR FAIR,BUENOS AIRES,PROV,,
35,LINEA 306,COL,35,306D,SPEGAZZINI - PUENTE LA NORIA POR FAIR - AU RICCHIERI,BUENOS AIRES,PROV,,
35,LINEA 306,COL,35,306E,PUENTE LA NORIA - EL GAUCHO TRASRADIO,BUENOS AIRES,PROV,,
