id,id_tarjeta,modo,lat,lon,sexo,interno_bus,tipo_trx_tren,etapa_red_sube,id_linea,id_ramal,id_tarifa,hora,fecha
2232394,39040490.0,COL,-34.588,-58.656,F,4412.0,,0,38,38,1,12,28/11/2019
2232395,39040490.0,COL,-34.588,-58.63,F,602.0,,0,38,38,1,17,28/11/2019
2235400,39047197.0,COL,-34.48,-58.602,,2124.0,,0,141,141,1,15,28/11/2019
2235401,39047197.0,COL,-34.452,-58.55,,3121.0,,0,141,141,1,17,28/11/2019
2236505,39050249.0,TRE,-34.558,-58.45,,,CHECK IN,0,174,160,1,14,28/11/2019
2236506,39050249.0,TRE,-34.488,-58.498,,,CHECK OUT,0,174,160,1,14,28/11/2019
2236669,39050748.0,COL,-34.718,-59.058,,2971.0,,0,356,356,1,6,28/11/2019
2238305,39055372.0,TRE,-34.65,-58.414,,,CHECK IN,0,44,44,1,6,28/11/2019
2238306,39055372.0,COL,-34.69,-58.508,,2382.0,,1,142,142,1,6,28/11/2019
2238307,39055372.0,TRE,-34.69,-58.508,,,CHECK OUT,0,44,44,1,6,28/11/2019
2238308,39055372.0,TRE,-34.69,-58.508,,,CHECK IN,1,44,44,1,15,28/11/2019
2238309,39055372.0,COL,-34.688,-58.522,,3716.0,,0,368,368,1,15,28/11/2019
2238310,39055372.0,TRE,-34.65,-58.414,,,CHECK OUT,1,44,44,1,16,28/11/2019
2238311,39055372.0,COL,-34.65,-58.416,,1739.0,,2,275,275,1,16,28/11/2019
2238312,39055372.0,SUB,-34.644,-58.462,,,,1,32,148,1,19,28/11/2019
2238313,39055372.0,COL,-34.658,-58.468,,385.0,,0,46,46,1,19,28/11/2019
2238314,39055372.0,COL,-34.618,-58.374,,4522.0,,0,345,345,1,21,28/11/2019
2239911,39060193.0,COL,-34.1,-59.046,,4760.0,,0,356,356,1,8,28/11/2019
2242386,39064971.0,COL,-34.704,-58.616,M,1847.0,,0,323,323,1,7,28/11/2019
2242609,39066029.0,SUB,-34.556,-58.462,,,,1,32,54,1,10,28/11/2019
2242610,39066029.0,COL,-34.53,-58.49,,268.0,,0,20,20,1,10,28/11/2019
2244776,39073449.0,COL,-34.412,-58.774,F,1284.0,,0,53,53,5,7,28/11/2019
2244777,39073449.0,COL,-34.352,-58.792,F,3315.0,,1,298,298,5,8,28/11/2019
2244778,39073449.0,COL,-34.458,-58.55,F,3604.0,,0,222,222,5,19,28/11/2019
2246210,39083073.0,COL,-34.91,-57.97,F,3305.0,,0,194,194,3,11,28/11/2019
2246911,39083814.0,COL,-34.6,-58.44,,672.0,,1,339,339,1,16,28/11/2019
2246912,39083814.0,COL,-34.602,-58.472,,3046.0,,0,6,6,1,16,28/11/2019
2246913,39083814.0,COL,-34.602,-58.442,,2635.0,,1,6,6,1,19,28/11/2019
2249554,39088241.0,COL,-34.85,-58.096,,2300.0,,0,195,195,1,14,28/11/2019
2249555,39088241.0,COL,-34.674,-58.078,,570.0,,0,263,263,1,17,28/11/2019
2249574,39088255.0,COL,-34.488,-58.736,,3000.0,,0,130,130,1,6,28/11/2019
2249575,39088255.0,COL,-34.51,-58.73,,3956.0,,0,53,53,1,18,28/11/2019
2252743,39315133.0,COL,-34.658,-58.506,F,1039.0,,0,332,332,10,22,28/11/2019
2253046,39316325.0,COL,-34.648,-58.428,M,2314.0,,0,362,362,1,16,28/11/2019
2253863,39320499.0,COL,-34.75,-58.442,M,970.0,,0,258,258,1,7,28/11/2019
2257527,39340335.0,COL,-34.614,-58.382,,2272.0,,0,90,90,1,16,28/11/2019
2257886,39343555.0,COL,-34.728,-58.37,M,1117.0,,0,266,266,1,7,28/11/2019
2257887,39343555.0,COL,-34.602,-58.382,M,1215.0,,0,266,266,1,12,28/11/2019
2261953,39360801.0,COL,-34.506,-58.72,M,4278.0,,0,13,13,4,5,28/11/2019
2261954,39360801.0,COL,-34.648,-58.618,M,1362.0,,1,151,151,4,6,28/11/2019
2261955,39360801.0,COL,-34.772,-58.646,M,144.0,,0,52,52,4,7,28/11/2019
2261956,39360801.0,COL,-34.852,-58.64,M,3715.0,,0,52,52,4,16,28/11/2019
2261957,39360801.0,COL,-34.77,-58.648,M,2259.0,,1,151,151,4,17,28/11/2019
2261958,39360801.0,COL,-34.644,-58.62,M,2.0,,2,13,13,4,18,28/11/2019
2261998,39360894.0,COL,-34.732,-58.368,F,1262.0,,0,266,266,1,14,28/11/2019
2261999,39360894.0,COL,-34.662,-58.364,F,909.0,,0,266,266,1,15,28/11/2019
2262000,39360894.0,COL,-34.59,-58.374,F,763.0,,0,266,266,1,16,28/11/2019
2262001,39360894.0,COL,-34.706,-58.388,F,1042.0,,1,400,400,1,18,28/11/2019
2264801,39370432.0,COL,-34.762,-58.186,F,3673.0,,0,100,100,5,6,28/11/2019
2264802,39370432.0,TRE,-34.764,-58.206,F,,CHECK IN,1,16,16,5,6,28/11/2019
2264803,39370432.0,TRE,-34.628,-58.38,F,,CHECK OUT,1,16,16,5,6,28/11/2019
2264804,39370432.0,SUB,-34.628,-58.382,F,,,2,32,269,1,7,28/11/2019
2264805,39370432.0,SUB,-34.63,-58.47,F,,,0,32,32,1,16,28/11/2019
2264806,39370432.0,TRE,-34.628,-58.38,F,,CHECK IN,1,16,16,5,17,28/11/2019
2264807,39370432.0,TRE,-34.764,-58.206,F,,CHECK OUT,1,16,16,5,18,28/11/2019
2265260,39372928.0,COL,-34.75,-58.584,,4814.0,,0,275,275,1,18,28/11/2019
2267134,39382943.0,COL,-34.644,-58.506,M,2618.0,,0,243,243,10,12,28/11/2019
2270957,39401042.0,COL,-34.876,-58.346,F,4152.0,,0,286,286,6,7,28/11/2019
2270958,39401042.0,COL,-34.888,-58.384,F,4067.0,,0,286,286,6,13,28/11/2019
2270959,39401042.0,COL,-34.876,-58.344,F,2832.0,,0,286,286,6,14,28/11/2019
2270960,39401042.0,COL,-34.882,-58.39,F,2691.0,,0,286,286,6,15,28/11/2019
2272092,39406085.0,COL,-34.79,-58.262,M,2900.0,,0,280,280,6,9,28/11/2019
2272093,39406085.0,COL,-34.81,-58.278,M,4486.0,,0,225,225,6,11,28/11/2019
2272094,39406085.0,COL,-34.79,-58.262,M,271.0,,0,224,224,6,12,28/11/2019
2272095,39406085.0,COL,-34.81,-58.272,M,1224.0,,0,402,402,6,18,28/11/2019
2273419,39412060.0,COL,-34.862,-57.902,F,359.0,,0,318,318,4,11,28/11/2019
2274057,39414011.0,COL,-34.672,-58.344,F,523.0,,0,90,90,1,7,28/11/2019
2274058,39414011.0,COL,-34.63,-58.372,F,4675.0,,0,90,90,1,18,28/11/2019
2275955,39419591.0,COL,-34.706,-58.672,F,3665.0,,0,164,164,6,7,28/11/2019
2275956,39419591.0,COL,-34.69,-58.688,F,3935.0,,0,164,164,6,13,28/11/2019
